Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Movie_box_office_revenue,Nomination,diversity,actor_number
A Man Called Sledge,1970,5.9,6056839,,False,0.9713475204444818,2
A Man Could Get Killed,1966,5.8,6057698,,False,0.633947652638736,3
A Man for All Seasons,1966,7.7,4836350,,True,0.18033688011112042,2
A Man in Love,1987,5.8,23665130,,False,1.9426950408889636,4
A Man of No Importance,1994,6.7,10783682,934550.0,False,0.18033688011112042,2
A Midnight Clear,1992,7.1,3461760,,False,0.633947652638736,3
A Midsummer Night's Dream,1935,6.8,7046343,1229000.0,True,0.12022458674074694,3
A Midsummer Night's Dream,1959,7.1,21547263,,True,0.18033688011112042,2
A Midsummer Night's Dream,1968,6.5,6046110,,True,0.9713475204444818,2
A Midsummer Night's Dream,1999,6.4,6264910,16071990.0,True,1.4639241041678726,8
A Midsummer Night's Sex Comedy,1982,6.6,2421437,9077269.0,False,1.4782619058470117,3
A Midwinter's Tale,1995,7.2,803813,,False,0.9713475204444818,2
A Mighty Heart,2007,6.6,5958413,18935657.0,False,1.092765960500042,4
A Mighty Wind,2003,7.2,499810,18750246.0,True,0.9713475204444818,2
A Monster in Paris,2011,6.7,33427265,,False,1.4782619058470117,3
A Month by the Lake,1995,6.2,22022026,,False,0.9713475204444818,2
A New Life,1988,5.8,31632887,,False,0.18033688011112042,2
A Night Full of Rain,1978,6.1,10675914,,False,0.9713475204444818,2
A Night at the Roxbury,1998,6.2,149748,30331165.0,False,1.5385416516886434,5
A Night in the Life of Jimmy Reardon,1988,5.5,5416943,,False,0.9713475204444818,2
A Nightmare on Elm Street,1984,7.4,3028191,26319961.0,False,0.633947652638736,3
A Nightmare on Elm Street,2010,5.2,23286957,115664037.0,False,0.18033688011112042,2
A Nightmare on Elm Street 3: Dream Warriors,1987,6.7,3037946,44793222.0,False,0.4620835257796325,4
A Nightmare on Elm Street 4: The Dream Master,1988,5.6,3038038,49369899.0,False,0.9713475204444818,2
A Passage to India,1984,7.3,3600424,27187653.0,True,0.4856737602222409,4
A Patch of Blue,1965,8.0,177740,,True,1.4782619058470117,3
A Perfect Fit,2005,5.1,24607608,,False,0.9713475204444818,2
A Perfect Getaway,2009,6.5,17365387,22852638.0,False,0.9713475204444818,2
A Perfect Murder,1998,6.6,189088,128038368.0,False,2.383850824833045,5
A Perfect World,1993,7.5,3555900,135130999.0,False,0.18033688011112042,2
A Place in the Sun,1951,7.7,2300167,7000000.0,True,0.9713475204444818,2
A Place in the Sun,1951,7.7,2300167,7000000.0,True,0.9713475204444818,2
A Prairie Home Companion,2006,6.7,2147563,25978442.0,False,1.092765960500042,4
A Prayer for the Dying,1987,6.3,12466332,,False,1.4782619058470117,3
A Price Above Rubies,1998,6.5,15211401,1081957.0,False,1.5385416516886434,5
A Pyromaniac's Love Story,1995,5.3,15969057,468240.0,False,1.4782619058470117,3
A Rage in Harlem,1991,5.9,8146797,10400000.0,False,0.9713475204444818,2
"A Reason to Live, a Reason to Die",1972,6.1,24235116,,False,0.9713475204444818,2
A Reasonable Man,1999,6.5,25411775,45000.0,False,0.9713475204444818,2
A Return to Salem's Lot,1987,4.3,3194438,,False,0.9713475204444818,2
A Ring of Endless Light,2002,5.8,5222578,,False,0.18033688011112042,2
A River Runs Through It,1992,7.2,6286627,,True,0.9713475204444818,2
A Room for Romeo Brass,1999,7.5,4669663,,False,0.9713475204444818,2
A Room with a View,1985,7.2,3671146,20966644.0,True,0.9713475204444818,2
A Scanner Darkly,2006,7.0,1611072,7659918.0,False,1.4782619058470117,3
A Shot at Glory,2000,6.2,8083590,,False,1.4782619058470117,3
A Shot in the Dark,1964,7.3,856733,,False,0.9713475204444818,2
A Show of Force,1990,5.3,2569794,,False,0.9713475204444818,2
A Simple Wish,1997,5.3,704063,8345056.0,False,0.633947652638736,3
A Single Man,2009,7.5,24207129,24964890.0,True,1.4782619058470117,3
A Slightly Pregnant Man,1973,5.8,22176402,,False,0.9713475204444818,2
A Slipping-Down Life,1999,6.1,9793561,107099.0,False,1.4782619058470117,3
A Smile Like Yours,1997,4.8,26253096,3330352.0,False,0.4620835257796325,4
A Soldier's Daughter Never Cries,1998,6.8,5861530,,False,1.9426950408889636,4
A Somewhat Gentle Man,2010,6.9,26108923,,False,0.18033688011112042,2
A Song Is Born,1948,6.9,10485963,,False,0.9713475204444818,2
A Song for Miss Julie,1945,5.0,24060591,,False,0.9713475204444818,2
A Sound of Thunder,2005,4.2,1128175,11665465.0,False,1.4782619058470117,3
A Star Is Born,1954,7.5,3450570,6000000.0,True,0.18033688011112042,2
A Star Is Born,1954,7.5,3450570,6000000.0,True,0.18033688011112042,2
A Star Is Born,1954,7.5,3450570,6000000.0,True,0.18033688011112042,2
A Star Is Born,1976,6.1,3450583,80000000.0,True,0.9713475204444818,2
A Star Is Born,1976,6.1,3450583,80000000.0,True,0.9713475204444818,2
A Star Is Born,1976,6.1,3450583,80000000.0,True,0.9713475204444818,2
A Stranger Among Us,1992,5.6,1872336,12282994.0,False,1.4782619058470117,3
A Stranger Is Watching,1982,5.3,4108752,,False,0.18033688011112042,2
A Streetcar Named Desire,1951,7.9,3367826,8000000.0,True,0.18033688011112042,2
A Summer Story,1988,7.2,28032447,,False,0.18033688011112042,2
A Talking Picture,2003,6.6,3359825,,False,1.092765960500042,4
A Thin Line Between Love and Hate,1996,5.6,832222,,False,0.18033688011112042,2
A Thousand Acres,1997,6.1,4908122,7928412.0,False,0.12022458674074694,3
